cohort_month,retention_upto_d7,retention_upto_d30,retention_upto_d90
2018-09,0.18689610944848226,0.4502707709847513,0.695118996722246
2018-10,0.15280083133884112,0.3807560105139912,0.6281075286007833
2018-11,0.1280302098630573,0.31236390731590863,0.5209899228114849
2018-12,0.12060837854665125,0.2664769189718047,0.4584741617006137
2019-01,0.11047464361848688,0.2378583755093754,0.42897747871862174
2019-02,0.103601057247185,0.21835515560784075,0.3939009671061678
2019-03,0.11456481391032529,0.2433525446908274,0.4337989645403927
2019-04,0.11284179295966643,0.23943549033758318,0.4331448961590891
2019-05,0.1186144516394285,0.25149552883132903,0.4246479597080892
2019-06,0.12317992595008345,0.2575057072150709,0.384196289830606
2019-07,0.12175496841425738,0.2267026329137271,0.35004841610181214
2019-08,0.11095576109557612,0.20459597045959704,0.3480318348031835
2019-09,0.0994616234124793,0.2075855880728879,0.35788238542241857
2019-10,0.08296970846771644,0.1783342819199393,0.3253652058432935
2019-11,0.09499864828331982,0.19935117599351176,0.3102189781021898
2019-12,0.08852190974493132,0.1790712884238064,0.2982668410725965
2020-01,0.09464889596180624,0.18599562363238512,0.3082952058882037
2020-02,0.09337589784517158,0.17920989624900238,0.29784517158818835
2020-03,0.09238014304935911,0.18727427236031444,0.3277742369520572
2020-04,0.06286711396200448,0.17968001179680013,0.3237730099043968
2020-05,0.12127269152631234,0.23717150534111017,0.3633920964676584
2020-06,0.12696859712797853,0.23307558781757928,0.34293829887959604
2020-07,0.10775368161948819,0.20353944743878113,
2020-08,0.09837207277792287,0.18068251066422913,
2020-09,0.07994070019386475,0.10297639411563463,
